src,dst,relation,weight,notes
MCR-1.101@2025-05-01,MCR-9.122@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.615@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.108@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.308@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.111@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.212@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.250@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.221@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.403@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.101@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.961@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.932@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-5.101@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-4.201@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.119@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.220@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.502@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.508@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.905@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.933@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.205@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-9.232@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.719@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.210@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.953@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.705@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.800@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.302@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.602@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-2.503@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-3.965@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-5.125@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-6.402@2025-05-01,cross_refs,1,auto-cite
MCR-1.101@2025-05-01,MCR-7.312@2025-05-01,cross_refs,1,auto-cite
