":ID",":LABEL","citation","type","lane"
"RULE_411","Rule","MCR","MCR",""
"RULE_412","Rule","MCR","MCR",""
"RULE_413","Rule","MCR","MCR",""
"RULE_414","Rule","MCR","MCR",""
"RULE_415","Rule","MCR","MCR",""
"RULE_416","Rule","MCR","MCR",""
"RULE_417","Rule","MCR","MCR",""
"RULE_418","Rule","MCR","MCR",""
"RULE_419","Rule","MCR","MCR",""
"RULE_420","Rule","MCR","MCR",""
"RULE_421","Rule","MCR","MCR",""
"RULE_422","Rule","MCR","MCR",""
"RULE_423","Rule","MCR","MCR",""
"RULE_424","Rule","MCR","MCR",""
"RULE_425","Rule","MCR","MCR",""
"RULE_426","Rule","MCR","MCR",""
"RULE_427","Rule","MCR","MCR",""
"RULE_428","Rule","MCR","MCR",""
"RULE_429","Rule","MCR","MCR",""
"RULE_430","Rule","MCR","MCR",""
"RULE_431","Rule","MCR","MCR",""
"RULE_432","Rule","MCR","MCR",""
"RULE_433","Rule","MCR","MCR",""
"RULE_434","Rule","MCR","MCR",""
"RULE_435","Rule","MCR","MCR",""
"RULE_436","Rule","MCR","MCR",""
