":ID",":LABEL","citation","type","lane"
"RULE_714","Rule","MCR","MCR","A,B,D,E,F"
"RULE_715","Rule","MCR","MCR",""
"RULE_716","Rule","MCR","MCR",""
"RULE_717","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_718","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_719","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_720","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_721","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_722","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_723","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_724","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_725","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_726","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_727","Rule","MRE","MRE","A,B,C,D,E,F"
"RULE_728","Rule","MRE","MRE","A,B,C,D,E,F"
