":ID",":LABEL","name","bates_number","lane","source"
"EXHB_78","Exhibit","A","PIGORS-F01-0078","","judicial_bias_chronology"
"EXHB_79","Exhibit","A","PIGORS-F01-0079","","judicial_bias_chronology"
"EXHB_80","Exhibit","A","PIGORS-F01-0080","","judicial_bias_chronology"
"EXHB_81","Exhibit","A","PIGORS-F01-0081","","judicial_bias_chronology"
"EXHB_82","Exhibit","A","PIGORS-F01-0082","","judicial_bias_chronology"
"EXHB_83","Exhibit","A","PIGORS-F01-0083","","judicial_bias_chronology"
"EXHB_84","Exhibit","A","PIGORS-F01-0084","","judicial_bias_chronology"
"EXHB_85","Exhibit","A","PIGORS-F01-0085","","judicial_bias_chronology"
"EXHB_86","Exhibit","A","PIGORS-F01-0086","","judicial_bias_chronology"
"EXHB_87","Exhibit","A","PIGORS-F01-0087","","judicial_bias_chronology"
"EXHB_88","Exhibit","A","PIGORS-F01-0088","","judicial_bias_chronology"
"EXHB_89","Exhibit","A","PIGORS-F01-0089","","judicial_bias_chronology"
"EXHB_90","Exhibit","A","PIGORS-F01-0090","","judicial_bias_chronology"
"EXHB_91","Exhibit","A","PIGORS-F01-0091","","judicial_bias_chronology"
"EXHB_92","Exhibit","A","PIGORS-F01-0092","","judicial_bias_chronology"
"EXHB_93","Exhibit","A","PIGORS-F01-0093","","judicial_bias_chronology"
"EXHB_94","Exhibit","A","PIGORS-F01-0094","","judicial_bias_chronology"
"EXHB_95","Exhibit","A","PIGORS-F01-0095","","judicial_bias_chronology"
"EXHB_96","Exhibit","A","PIGORS-F01-0096","","judicial_bias_chronology"
"EXHB_97","Exhibit","A","PIGORS-F01-0097","","judicial_bias_chronology"
"EXHB_98","Exhibit","A","PIGORS-F01-0098","","judicial_bias_chronology"
"EXHB_99","Exhibit","A","PIGORS-F01-0099","","judicial_bias_chronology"
"EXHB_100","Exhibit","A","PIGORS-F01-0100","","judicial_bias_chronology"
"EXHB_101","Exhibit","A","PIGORS-F01-0101","","judicial_bias_chronology"
"EXHB_102","Exhibit","A","PIGORS-F01-0102","","judicial_bias_chronology"
"EXHB_103","Exhibit","A","PIGORS-F01-0103","","judicial_bias_chronology"
"EXHB_104","Exhibit","A","PIGORS-F01-0104","","judicial_bias_chronology"
"EXHB_105","Exhibit","A","PIGORS-F01-0105","","judicial_bias_chronology"
"EXHB_106","Exhibit","A","PIGORS-F01-0106","","judicial_bias_chronology"
"EXHB_107","Exhibit","A","PIGORS-F01-0107","","judicial_bias_chronology"
"EXHB_108","Exhibit","A","PIGORS-F01-0108","","judicial_bias_chronology"
"EXHB_109","Exhibit","A","PIGORS-F01-0109","","judicial_bias_chronology"
"EXHB_110","Exhibit","A","PIGORS-F01-0110","","judicial_bias_chronology"
"EXHB_111","Exhibit","A","PIGORS-F01-0111","","judicial_bias_chronology"
"EXHB_112","Exhibit","A","PIGORS-F01-0112","","judicial_bias_chronology"
"EXHB_113","Exhibit","A","PIGORS-F01-0113","","judicial_bias_chronology"
"EXHB_114","Exhibit","A","PIGORS-F01-0114","","judicial_bias_chronology"
"EXHB_115","Exhibit","A","PIGORS-F01-0115","","judicial_bias_chronology"
"EXHB_116","Exhibit","A","PIGORS-F01-0116","","judicial_bias_chronology"
"EXHB_117","Exhibit","A","PIGORS-F01-0117","","judicial_bias_chronology"
"EXHB_118","Exhibit","A","PIGORS-F01-0118","","judicial_bias_chronology"
"EXHB_119","Exhibit","A","PIGORS-F01-0119","","judicial_bias_chronology"
"EXHB_120","Exhibit","A","PIGORS-F01-0120","","judicial_bias_chronology"
"EXHB_121","Exhibit","A","PIGORS-F01-0121","","judicial_bias_chronology"
"EXHB_122","Exhibit","A","PIGORS-F01-0122","","judicial_bias_chronology"
"EXHB_123","Exhibit","A","PIGORS-F01-0123","","judicial_bias_chronology"
"EXHB_124","Exhibit","A","PIGORS-F01-0124","","judicial_bias_chronology"
"EXHB_125","Exhibit","A","PIGORS-F01-0125","","judicial_bias_chronology"
"EXHB_126","Exhibit","A","PIGORS-F01-0126","","judicial_bias_chronology"
"EXHB_127","Exhibit","A","PIGORS-F01-0127","","judicial_bias_chronology"
"EXHB_128","Exhibit","A","PIGORS-F01-0128","","judicial_bias_chronology"
"EXHB_129","Exhibit","A","PIGORS-F01-0129","","judicial_bias_chronology"
"EXHB_130","Exhibit","A","PIGORS-F01-0130","","judicial_bias_chronology"
"EXHB_131","Exhibit","A","PIGORS-F01-0131","","judicial_bias_chronology"
"EXHB_132","Exhibit","A","PIGORS-F01-0132","","judicial_bias_chronology"
