":ID",":LABEL","factor","favors_party","lane","relevance_score"
"BIF_37845","BestInterestFactor","j","andrew","","10.0"
"BIF_37851","BestInterestFactor","j","andrew","","10.0"
"BIF_37857","BestInterestFactor","j","andrew","","10.0"
"BIF_37863","BestInterestFactor","j","andrew","","10.0"
"BIF_37869","BestInterestFactor","j","andrew","","10.0"
"BIF_37875","BestInterestFactor","j","andrew","","10.0"
"BIF_37881","BestInterestFactor","j","andrew","","10.0"
"BIF_37887","BestInterestFactor","j","andrew","","10.0"
"BIF_37893","BestInterestFactor","j","andrew","","10.0"
"BIF_37899","BestInterestFactor","j","andrew","","10.0"
"BIF_37905","BestInterestFactor","j","andrew","","10.0"
"BIF_37910","BestInterestFactor","j","andrew","","10.0"
"BIF_37916","BestInterestFactor","j","andrew","","10.0"
"BIF_37919","BestInterestFactor","j","andrew","","10.0"
"BIF_37922","BestInterestFactor","j","andrew","","10.0"
"BIF_37926","BestInterestFactor","j","andrew","","10.0"
"BIF_37927","BestInterestFactor","j","andrew","","10.0"
"BIF_37931","BestInterestFactor","j","andrew","","10.0"
"BIF_37935","BestInterestFactor","j","andrew","","10.0"
"BIF_37939","BestInterestFactor","j","andrew","","10.0"
"BIF_37943","BestInterestFactor","j","andrew","","10.0"
"BIF_37946","BestInterestFactor","j","andrew","","10.0"
"BIF_37950","BestInterestFactor","j","andrew","","10.0"
"BIF_38134","BestInterestFactor","j","andrew","","10.0"
"BIF_38137","BestInterestFactor","j","andrew","","10.0"
"BIF_38140","BestInterestFactor","j","andrew","","10.0"
"BIF_38142","BestInterestFactor","j","andrew","","10.0"
"BIF_38144","BestInterestFactor","j","andrew","","10.0"
"BIF_38146","BestInterestFactor","j","andrew","","10.0"
"BIF_38148","BestInterestFactor","j","andrew","","10.0"
"BIF_38150","BestInterestFactor","j","andrew","","10.0"
"BIF_38154","BestInterestFactor","j","andrew","","10.0"
"BIF_38156","BestInterestFactor","j","andrew","","10.0"
"BIF_38160","BestInterestFactor","j","andrew","","10.0"
"BIF_38164","BestInterestFactor","j","andrew","","10.0"
"BIF_38167","BestInterestFactor","j","andrew","","10.0"
"BIF_38170","BestInterestFactor","j","andrew","","10.0"
"BIF_38173","BestInterestFactor","j","andrew","","10.0"
"BIF_38176","BestInterestFactor","j","andrew","","10.0"
"BIF_38179","BestInterestFactor","j","andrew","","10.0"
"BIF_38182","BestInterestFactor","j","andrew","","10.0"
"BIF_38187","BestInterestFactor","j","andrew","","10.0"
"BIF_38189","BestInterestFactor","j","andrew","","10.0"
"BIF_38192","BestInterestFactor","j","andrew","","10.0"
"BIF_38195","BestInterestFactor","j","andrew","","10.0"
"BIF_38199","BestInterestFactor","j","andrew","","10.0"
"BIF_38201","BestInterestFactor","j","andrew","","10.0"
"BIF_38206","BestInterestFactor","j","andrew","","10.0"
"BIF_38208","BestInterestFactor","j","andrew","","10.0"
"BIF_38212","BestInterestFactor","j","andrew","","10.0"
"BIF_38215","BestInterestFactor","j","andrew","","10.0"
"BIF_38216","BestInterestFactor","j","andrew","","10.0"
"BIF_38218","BestInterestFactor","j","andrew","","10.0"
"BIF_38221","BestInterestFactor","j","andrew","","10.0"
"BIF_38224","BestInterestFactor","j","andrew","","10.0"
"BIF_38226","BestInterestFactor","j","andrew","","10.0"
"BIF_38230","BestInterestFactor","j","andrew","","10.0"
"BIF_38233","BestInterestFactor","j","andrew","","10.0"
"BIF_39075","BestInterestFactor","j","andrew","","10.0"
"BIF_39080","BestInterestFactor","j","andrew","","10.0"
"BIF_39085","BestInterestFactor","j","andrew","","10.0"
"BIF_39088","BestInterestFactor","j","andrew","","10.0"
"BIF_39091","BestInterestFactor","j","andrew","","10.0"
"BIF_39094","BestInterestFactor","j","andrew","","10.0"
"BIF_39098","BestInterestFactor","j","andrew","","10.0"
"BIF_39100","BestInterestFactor","j","andrew","","10.0"
"BIF_39104","BestInterestFactor","j","andrew","","10.0"
"BIF_39108","BestInterestFactor","j","andrew","","10.0"
"BIF_39110","BestInterestFactor","j","andrew","","10.0"
"BIF_39114","BestInterestFactor","j","andrew","","10.0"
"BIF_39118","BestInterestFactor","j","andrew","","10.0"
"BIF_39121","BestInterestFactor","j","andrew","","10.0"
"BIF_39124","BestInterestFactor","j","andrew","","10.0"
"BIF_39127","BestInterestFactor","j","andrew","","10.0"
"BIF_39130","BestInterestFactor","j","andrew","","10.0"
"BIF_39133","BestInterestFactor","j","andrew","","10.0"
"BIF_39136","BestInterestFactor","j","andrew","","10.0"
"BIF_39138","BestInterestFactor","j","andrew","","10.0"
"BIF_39140","BestInterestFactor","j","andrew","","10.0"
"BIF_39142","BestInterestFactor","j","andrew","","10.0"
"BIF_39144","BestInterestFactor","j","andrew","","10.0"
"BIF_39146","BestInterestFactor","j","andrew","","10.0"
"BIF_39150","BestInterestFactor","j","andrew","","10.0"
"BIF_39154","BestInterestFactor","j","andrew","","10.0"
"BIF_39158","BestInterestFactor","j","andrew","","10.0"
"BIF_39161","BestInterestFactor","j","andrew","","10.0"
"BIF_39165","BestInterestFactor","j","andrew","","10.0"
"BIF_39170","BestInterestFactor","j","andrew","","10.0"
"BIF_39174","BestInterestFactor","j","andrew","","10.0"
"BIF_39175","BestInterestFactor","j","andrew","","10.0"
"BIF_39178","BestInterestFactor","j","andrew","","10.0"
"BIF_39179","BestInterestFactor","j","andrew","","10.0"
"BIF_39181","BestInterestFactor","j","andrew","","10.0"
"BIF_39183","BestInterestFactor","j","andrew","","10.0"
"BIF_39185","BestInterestFactor","j","andrew","","10.0"
"BIF_39187","BestInterestFactor","j","andrew","","10.0"
"BIF_39189","BestInterestFactor","j","andrew","","10.0"
"BIF_39191","BestInterestFactor","j","andrew","","10.0"
"BIF_39194","BestInterestFactor","j","andrew","","10.0"
"BIF_39201","BestInterestFactor","j","andrew","","10.0"
"BIF_39208","BestInterestFactor","j","andrew","","10.0"
"BIF_39211","BestInterestFactor","j","andrew","","10.0"
"BIF_39216","BestInterestFactor","j","andrew","","10.0"
"BIF_39220","BestInterestFactor","j","andrew","","10.0"
"BIF_39222","BestInterestFactor","j","andrew","","10.0"
"BIF_39224","BestInterestFactor","j","andrew","","10.0"
"BIF_39228","BestInterestFactor","j","andrew","","10.0"
"BIF_39233","BestInterestFactor","j","andrew","","10.0"
"BIF_39238","BestInterestFactor","j","andrew","","10.0"
"BIF_39240","BestInterestFactor","j","andrew","","10.0"
"BIF_39242","BestInterestFactor","j","andrew","","10.0"
"BIF_39244","BestInterestFactor","j","andrew","","10.0"
"BIF_39247","BestInterestFactor","j","andrew","","10.0"
"BIF_39252","BestInterestFactor","j","andrew","","10.0"
"BIF_39257","BestInterestFactor","j","andrew","","10.0"
"BIF_39261","BestInterestFactor","j","andrew","","10.0"
"BIF_39263","BestInterestFactor","j","andrew","","10.0"
"BIF_39267","BestInterestFactor","j","andrew","","10.0"
"BIF_39272","BestInterestFactor","j","andrew","","10.0"
"BIF_39277","BestInterestFactor","j","andrew","","10.0"
"BIF_39281","BestInterestFactor","j","andrew","","10.0"
"BIF_39285","BestInterestFactor","j","andrew","","10.0"
"BIF_39289","BestInterestFactor","j","andrew","","10.0"
"BIF_39293","BestInterestFactor","j","andrew","","10.0"
"BIF_39297","BestInterestFactor","j","andrew","","10.0"
"BIF_39300","BestInterestFactor","j","andrew","","10.0"
"BIF_39303","BestInterestFactor","j","andrew","","10.0"
"BIF_39305","BestInterestFactor","j","andrew","","10.0"
"BIF_39309","BestInterestFactor","j","andrew","","10.0"
"BIF_39313","BestInterestFactor","j","andrew","","10.0"
"BIF_39317","BestInterestFactor","j","andrew","","10.0"
"BIF_39321","BestInterestFactor","j","andrew","","10.0"
"BIF_39325","BestInterestFactor","j","andrew","","10.0"
"BIF_39329","BestInterestFactor","j","andrew","","10.0"
"BIF_39335","BestInterestFactor","j","andrew","","10.0"
"BIF_39337","BestInterestFactor","j","andrew","","10.0"
"BIF_39339","BestInterestFactor","j","andrew","","10.0"
"BIF_39343","BestInterestFactor","j","andrew","","10.0"
"BIF_39345","BestInterestFactor","j","andrew","","10.0"
"BIF_39348","BestInterestFactor","j","andrew","","10.0"
"BIF_39351","BestInterestFactor","j","andrew","","10.0"
"BIF_39354","BestInterestFactor","j","andrew","","10.0"
"BIF_39357","BestInterestFactor","j","andrew","","10.0"
"BIF_39360","BestInterestFactor","j","andrew","","10.0"
"BIF_39363","BestInterestFactor","j","andrew","","10.0"
"BIF_39366","BestInterestFactor","j","andrew","","10.0"
"BIF_39369","BestInterestFactor","j","andrew","","10.0"
"BIF_39372","BestInterestFactor","j","andrew","","10.0"
"BIF_39375","BestInterestFactor","j","andrew","","10.0"
"BIF_39378","BestInterestFactor","j","andrew","","10.0"
"BIF_39381","BestInterestFactor","j","andrew","","10.0"
"BIF_39384","BestInterestFactor","j","andrew","","10.0"
"BIF_39387","BestInterestFactor","j","andrew","","10.0"
"BIF_39390","BestInterestFactor","j","andrew","","10.0"
"BIF_39393","BestInterestFactor","j","andrew","","10.0"
"BIF_39396","BestInterestFactor","j","andrew","","10.0"
"BIF_39399","BestInterestFactor","j","andrew","","10.0"
"BIF_39402","BestInterestFactor","j","andrew","","10.0"
"BIF_39404","BestInterestFactor","j","andrew","","10.0"
"BIF_39406","BestInterestFactor","j","andrew","","10.0"
"BIF_39408","BestInterestFactor","j","andrew","","10.0"
"BIF_39410","BestInterestFactor","j","andrew","","10.0"
"BIF_39412","BestInterestFactor","j","andrew","","10.0"
"BIF_39414","BestInterestFactor","j","andrew","","10.0"
"BIF_39416","BestInterestFactor","j","andrew","","10.0"
"BIF_39418","BestInterestFactor","j","andrew","","10.0"
"BIF_39420","BestInterestFactor","j","andrew","","10.0"
"BIF_39422","BestInterestFactor","j","andrew","","10.0"
"BIF_39424","BestInterestFactor","j","andrew","","10.0"
"BIF_39426","BestInterestFactor","j","andrew","","10.0"
"BIF_39428","BestInterestFactor","j","andrew","","10.0"
"BIF_39430","BestInterestFactor","j","andrew","","10.0"
"BIF_39432","BestInterestFactor","j","andrew","","10.0"
"BIF_39435","BestInterestFactor","j","andrew","","10.0"
"BIF_39439","BestInterestFactor","j","andrew","","10.0"
"BIF_39441","BestInterestFactor","j","andrew","","10.0"
"BIF_39444","BestInterestFactor","j","andrew","","10.0"
"BIF_39446","BestInterestFactor","j","andrew","","10.0"
"BIF_39448","BestInterestFactor","j","andrew","","10.0"
"BIF_39451","BestInterestFactor","j","andrew","","10.0"
"BIF_39458","BestInterestFactor","j","andrew","","10.0"
"BIF_39462","BestInterestFactor","j","andrew","","10.0"
"BIF_39465","BestInterestFactor","j","andrew","","10.0"
"BIF_39469","BestInterestFactor","j","andrew","","10.0"
"BIF_39472","BestInterestFactor","j","andrew","","10.0"
"BIF_39474","BestInterestFactor","j","andrew","","10.0"
"BIF_39476","BestInterestFactor","j","andrew","","10.0"
"BIF_39478","BestInterestFactor","j","andrew","","10.0"
"BIF_39480","BestInterestFactor","j","andrew","","10.0"
