id,label,name,kind,tags,props_json
HFSPACE:Agents-MCP-Hackathon/KGB-mcp,ExternalTool,KGB-mcp,ExternalTool,external|hf|space|mcp,"{""author"": ""Agents-MCP-Hackathon"", ""sdk"": ""gradio"", ""likes"": 17, ""updated"": ""2025-06-05"", ""url"": ""https://hf.co/spaces/Agents-MCP-Hackathon/KGB-mcp"", ""tags"": [""gradio"", ""mcp-server-track"", ""agent-demo-track"", ""knowledge-graph"", ""entity-extraction"", ""nlp"", ""visualization"", ""semantic-analysis"", ""clustering"", ""embeddings"", ""mcp-server"", ""region:us""], ""source"": ""hf_hub_repo_details""}"
HFSPACE:dippatel1994/paperbanana,ExternalTool,paperbanana,ExternalTool,external|hf|space|tool,"{""author"": ""dippatel1994"", ""sdk"": ""gradio"", ""likes"": 3, ""updated"": ""2026-02-05"", ""url"": ""https://hf.co/spaces/dippatel1994/paperbanana"", ""tags"": [""gradio"", ""region:us""], ""source"": ""hf_hub_repo_details""}"
