tool_id,name,author,sdk,likes,updated,tags,url,source,tags_joined
HFSPACE:Agents-MCP-Hackathon/KGB-mcp,KGB-mcp,Agents-MCP-Hackathon,gradio,17,2025-06-05,"['gradio', 'mcp-server-track', 'agent-demo-track', 'knowledge-graph', 'entity-extraction', 'nlp', 'visualization', 'semantic-analysis', 'clustering', 'embeddings', 'mcp-server', 'region:us']",https://hf.co/spaces/Agents-MCP-Hackathon/KGB-mcp,hf_hub_repo_details,gradio|mcp-server-track|agent-demo-track|knowledge-graph|entity-extraction|nlp|visualization|semantic-analysis|clustering|embeddings|mcp-server|region:us
HFSPACE:dippatel1994/paperbanana,paperbanana,dippatel1994,gradio,3,2026-02-05,"['gradio', 'region:us']",https://hf.co/spaces/dippatel1994/paperbanana,hf_hub_repo_details,gradio|region:us
