"Extension","Count","SizeMB"
".m4","16","0.1"
".train","15","0"
".gdnbaselines","15","0.1"
".nvmrc","15","0"
".save","15","0"
".cab","15","68.6"
".prvx","15","2"
".all-contributorsrc","15","0"
".ndjson","15","69.9"
".info","15","0.1"
".csh","14","0"
".jinja","14","0.1"
".jinja2","14","0"
".gradle","14","0"
".mako","14","0"
".afm","14","0.6"
".webmanifest","13","0"
".ejs","13","0.2"
".p7s","13","0.2"
".go","13","0"
".python-version","13","0"
".eslintignore","12","0.1"
".doc","12","6.7"
".prdx","12","15.8"
".j2","12","0"
".neo4j-import","11","0"
".metainfo","11","0.1"
".part15","11","363"
".alpine-arm64","11","0"
".darwin-x64","11","0"
".SF","11","0"
".linux-x64","11","0"
".pyw","11","0"
".ics","11","0"
".razorencconfig","11","0"
".linux-arm64","11","0"
".code-workspace","11","0"
".alpine-x64","11","0"
".RSA","11","0.1"
".proj","11","0"
".darwin-arm64","11","0"
".202109301733__META-INF__LICENSE","10","0.1"
".noindex","10","11.2"
".flowconfig","10","0"
".part18","10","330"
".pfb","10","0.2"
".geminiignore","10","0"
".post","10","0"
".pre","10","0"
".efi","10","19.3"
".torrent","10","0.2"
".tmpl","10","0"
".types","9","0.4"
".dbo","9","942.7"
".d","9","0"
".xz","9","56.2"
".odg","9","214.9"
".sln","9","0"
".part14","9","297"
".policy","9","0"
".mailmap","9","0"
".aiff","9","0.1"
".part19","9","297"
".flake8","9","0"
".reg","9","0"
".tgz","9","124.6"
".vbs","9","0"
".ac","8","0.6"
".obsolete","8","0"
".ctypes","8","0"
".sqlite-wal","8","137.1"
".dockerfile","8","0"
".pima","8","80.3"
".202109301733__META-INF__NOTICE","8","0"
".dockerignore","8","0"
".csc","8","0.1"
".fs","8","0"
".tab","8","0.1"
".editorconfig_e4b46d64","8","0"
".7z","8","114.4"
".snk","7","0"
".file","7","0"
".tex","7","0"
".pc","7","0"
".part16","7","231"
".part12","7","231"
".nuspec","7","0"
".001","7","325"
".continueignore","7","0"
".iss","6","0"
".fsc","6","0"
".loaded_0","6","0.9"
".jshintrc","6","0"
".002","6","150"
".3","6","0"
".2","6","0.1"
".wxs","6","0.1"
".f2py_f2cmap","6","0"
".003","6","135.1"
".gitmodules","6","0"
".egg","6","73.1"
".desktop","6","0"
".adml","6","0"
".part04","6","198"
".txn","6","0"
".part11","6","198"
".crl","6","0"
".sif","6","0"
".part13","6","198"
".tar","6","0.1"
".blg","6","1.2"
".admx","6","0"
