"Extension","Count","SizeMB"
".vsixmanifest_6c495b7a","1","0"
".vsixmanifest_6f28551f","1","0"
".vsixmanifest_ccb9cf6e","1","0"
".vsixmanifest_copy135","1","0"
".vsixmanifest_ccea2c91","1","0"
".vsixmanifest_cebdf787","1","0"
".vsixmanifest_copy117","1","0"
".vsixmanifest_copy118","1","0"
".vsixmanifest_copy119","1","0"
".vsixmanifest_copy120","1","0"
".vsixmanifest_copy121","1","0"
".vsixmanifest_copy122","1","0"
".vsixmanifest_copy123","1","0"
".vsixmanifest_copy124","1","0"
".vsixmanifest_copy116","1","0"
".vsixmanifest_copy125","1","0"
".vsixmanifest_copy127","1","0"
".vsixmanifest_copy128","1","0"
".vsixmanifest_copy129","1","0"
".vsixmanifest_copy89","1","0"
".vsixmanifest_copy130","1","0"
".vsixmanifest_copy131","1","0"
".vsixmanifest_copy132","1","0"
".vsixmanifest_copy133","1","0"
".vsixmanifest_copy126","1","0"
".vsixmanifest_copy115","1","0"
".vsixmanifest_copy90","1","0"
".vsixmanifest_copy114","1","0"
".vsixmanifest_copy95","1","0"
".vsixmanifest_copy100","1","0"
".vsixmanifest_copy101","1","0"
".vsixmanifest_copy102","1","0"
".vsixmanifest_copy103","1","0"
".vsixmanifest_copy104","1","0"
".vsixmanifest_copy94","1","0"
".vsixmanifest_copy105","1","0"
".vsixmanifest_copy106","1","0"
".vsixmanifest_copy107","1","0"
".vsixmanifest_copy108","1","0"
".vsixmanifest_copy109","1","0"
".vsixmanifest_copy93","1","0"
".vsixmanifest_copy92","1","0"
".vsixmanifest_copy110","1","0"
".vsixmanifest_copy111","1","0"
".vsixmanifest_copy91","1","0"
".vsixmanifest_copy112","1","0"
".vsixmanifest_copy113","1","0"
".vsixmanifest_cd072a33","1","0"
".vsixmanifest_copy140","1","0"
".python-version_3a1ef726","1","0"
".dsp","1","0"
".feather","1","0"
".exr","1","0"
".mailmap_2","1","0"
".mailmap_f5df0809","1","0"
".mailmap_fae1eb56","1","0"
".eslintrc_fa3cbd88","1","0"
".eslintrc_f441ce02_copy3","1","0"
".eslintrc_f441ce02_copy2","1","0"
".markdownlintignore","1","0"
".markdownlintignore_ccbe2764","1","0"
".eslintrc_f441ce02_copy1","1","0"
".mask","1","0"
".eslintrc_f441ce02_2","1","0"
".eslintrc_f441ce02_1","1","0"
".eslintrc_e9df6c3b_copy3","1","0"
".mdown","1","0"
".eslintrc_e9df6c3b_copy2","1","0"
".eslintrc_e9df6c3b_copy1","1","0"
".mesh","1","0.1"
".eslintrc_e9df6c3b_2","1","0"
".eslintrc_e9df6c3b_1","1","0"
".metadata-v2_1a7cf6f3","1","0"
".metadata-v2_86d20105","1","0"
".filters","1","0"
".flake8_c98e013c","1","0"
".flake8_copy1","1","0"
".flake8_copy2","1","0"
".jshintrc_5f795503","1","0"
".jshintrc_9a5e683e","1","0"
".jshintrc_ec93c52d","1","0"
".geminiignore_3","1","0"
".json5","1","0"
".geminiignore_2","1","0"
".geminiignore_10","1","0"
".geminiignore_1","1","0"
".gdnbaselines_d349a461","1","0"
".gdnbaselines_copy5","1","0"
".gdnbaselines_copy4","1","0"
".metadata-v2_a3e4b991","1","0"
".gdnbaselines_copy3","1","0"
".gdnbaselines_copy2","1","0"
".lastbuildstate","1","0"
".gdnbaselines_c904bf53","1","0"
".FrameworkFactory","1","0"
".lesshst","1","0"
".footer","1","0"
".flowconfig_edfab7b4_copy3","1","0"
".flowconfig_edfab7b4_copy2","1","0"
".flowconfig_edfab7b4_copy1","1","0"
".flowconfig_edfab7b4_1","1","0"
".flowconfig_copy2","1","0"
".keep_85700118","1","0"
".jshintrc_48460ff8","1","0"
".eslintrc_copy7_copy1","1","0"
".eslintrc_copy6_copy1","1","0"
".npmignore_8993908a","1","0"
".npmignore_8a006ac5","1","0"
".npmignore_911e00a2","1","0"
".npmignore_9f86d081","1","0"
".zshrc","1","0"
".npmignore_a1cd9589","1","0"
".npmignore_a8b28e59","1","0"
".npmignore_a963eca4","1","0"
".npmignore_a964886a","1","0"
".npmignore_b8d096fa","1","0"
".npmignore_c7868553","1","0"
".npmignore_cdccd1e8","1","0"
".npmignore_copy1","1","0"
".npmignore_copy1_copy1","1","0"
".npmignore_copy10","1","0"
".npmignore_copy11","1","0"
".npmignore_copy12","1","0"
".npmignore_copy13","1","0"
".npmignore_copy14","1","0"
".npmignore_copy15","1","0"
".npmignore_copy16","1","0"
".npmignore_copy17","1","0"
".npmignore_copy18","1","0"
".npmignore_837ccb60","1","0"
".npmignore_7d32aca7","1","0"
".npmignore_62a2f990","1","0"
".npmignore_5f51d039","1","0"
".eslintrc_copy6","1","0"
".eslintrc_copy5_copy1","1","0"
".eslintrc_copy5","1","0"
".eslintrc_copy41","1","0"
".msix","1","23.9"
".eslintrc_copy40","1","0"
".eslintrc_copy4_copy1","1","0"
".eslintrc_copy4","1","0"
".eslintrc_copy39","1","0"
".eslintrc_copy38","1","0"
".eslintrc_copy37","1","0"
".eslintrc_copy7","1","0"
".eslintrc_copy36","1","0"
".eslintrc_copy34","1","0"
".nmake","1","0"
".eslintrc_copy33","1","0"
".eslintrc_copy32","1","0"
".eslintrc_copy31","1","0"
".eslintrc_copy30","1","0"
".npmignore_083b7654","1","0"
".npmignore_190a2498","1","0"
".npmignore_380c5b51","1","0"
".npmignore_3a2290e1","1","0"
".npmignore_43f78fd4","1","0"
".eslintrc_copy35","1","0"
".npmignore_copy19","1","0"
".jshintrc_013f7428","1","0"
".jshintignore_91fb37c0","1","0"
".gitignore_copy14","1","0"
".gitignore_copy15","1","0"
".gitignore_copy16","1","0"
".gitignore_copy17","1","0"
".gitignore_copy18","1","0"
".gitignore_copy19","1","0"
".gitignore_copy20","1","0"
".gitignore_copy21","1","0"
".gitignore_copy22","1","0"
".gitignore_copy23","1","0"
".gitignore_copy24","1","0"
".gitignore_copy25","1","0"
".gitignore_copy26","1","0"
".gitignore_copy27","1","0"
".gitignore_copy28","1","0"
".gitignore_copy29","1","0"
".gitignore_copy30","1","0"
".gitignore_copy31","1","0"
".gitignore_copy32","1","0"
".gitignore_copy33","1","0"
".gitignore_copy34","1","0"
".gitignore_copy35","1","0"
".gitignore_copy36","1","0"
".gitignore_cfeee85c","1","0"
".gitignore_ce9f1e09","1","0"
".gitignore_b94157a6","1","0"
".gitignore_b5a668ed","1","0"
".gitignore_12","1","0"
".gitignore_14","1","0"
".gitignore_15","1","0"
".gitignore_1773498759","1","0"
".gitignore_1773499225","1","0"
".gitignore_2854dde1","1","0"
".gitignore_3","1","0"
".gitignore_36878c41","1","0"
".gitignore_3ed731b6","1","0"
".gitignore_5","1","0"
".gitignore_518d8a4e","1","0"
".gitignore_eb9c3f99","1","0"
".gitignore_5a81ec33","1","0"
".gitignore_62f0b6ef","1","0"
".gitignore_66359a72","1","0"
".gitignore_684888c0","1","0"
".gitignore_7","1","0"
".gitignore_76ba6952","1","0"
".gitignore_791faabe","1","0"
".gitignore_791faabe_copy1","1","0"
".gitignore_7c12a77f","1","0"
".gitignore_8","1","0"
".gitignore_91603341","1","0"
".gitignore_9330966f","1","0"
".gitignore_6","1","0"
".geminiignore_4","1","0"
".gitignore_f27f427e","1","0"
".gitkeep","1","0"
".include","1","0"
".gitattributes_5fe8be92_1","1","0"
".gitattributes_53bafcf8","1","0"
".gitattributes_5077179a","1","0"
".gitattributes_4","1","0"
".gitattributes_3","1","0"
".gitattributes_2","1","0"
".gitattributes_1a1dbe17_copy2","1","0"
".gitattributes_1a1dbe17_copy1","1","0"
".gitattributes_1a1dbe17","1","0"
".git-blame-ignore-revs_2","1","0"
".geminiignore_9","1","0"
".geminiignore_8","1","0"
".geminiignore_7","1","0"
".geminiignore_6","1","0"
".jraisinpg","1","2.1"
".jre__META-INF__LICENSE","1","0"
".geminiignore_5","1","0"
".jsbeautifyrc","1","0"
".jsbeautifyrc_a157bcd8","1","0"
".jsbeautifyrc_c9855422","1","0"
".jsbeautifyrc_copy1","1","0"
".jshintignore","1","0"
".gitattributes_5fe8be92_2","1","0"
".gitattributes_5fe8be92_copy1","1","0"
".gitattributes_5fe8be92_copy2","1","0"
".gitattributes_5fe8be92_copy3","1","0"
".gitignore_1","1","0"
".gitmodules_26e73f5b","1","0"
".gitmodules_a4101e22","1","0"
".gitrepo","1","0"
".globalconfig_1540ca16","1","0.1"
".globalconfig_d0e44b83","1","0"
".gitignore_0d3cb8fd","1","0"
".gpl2","1","0"
".gptjson","1","0"
".gitconfig_65e3ef56_copy1","1","0"
".gitconfig_65e3ef56","1","0"
".gitignore_ff814f4c","1","0"
".gitattributes_f80dcc94","1","0"
".gitattributes_copy9","1","0"
".gitattributes_copy8","1","0"
".hcom","1","0"
".header","1","0"
".heic","1","0.3"
".gitattributes_copy7","1","0"
".gitattributes_copy6","1","0"
".gitattributes_copy5","1","0"
".gitattributes_copy4","1","0"
".husky__pre-push","1","0"
".gitattributes_a79691a9","1","0"
".gitattributes_e753774a","1","0"
".npmignore_copy20","1","0"
".npmignore_copy21","1","0"
".npmignore_copy22","1","0"
".png_8d7b9ea3","1","0.1"
".png_MISC_NO_CONTENT_10_16_2024","1","0.1"
".png_MISC_NO_CONTENT_10_23_2024","1","0.4"
".eslintrc_02f86906","1","0"
".eslintignore_ed19d3c9","1","0"
".eslintignore_e033fb6c","1","0"
".ppm","1","0"
".eslintignore_copy4","1","0"
".eslintignore_copy3","1","0"
".eslintignore_copy2","1","0"
".prefs","1","0"
".eslintignore_copy1","1","0"
".prettierignore_c7d39040","1","0"
".eslintignore_c8dff2ff","1","0"
".prettierrc_b90a2d06","1","0"
".eslintignore_5c5daf48","1","0"
".eslintignore_2","1","0"
".eslintignore_085af2cf","1","0"
".env_fa69b0af","1","0"
".env_copy5","1","0"
".env_copy4","1","0"
".env_copy3","1","0"
".env_copy2","1","0"
".png_1","1","0.1"
".eslintrc_06940501_1","1","0"
".eslintrc_06940501_copy1","1","0"
".eslintrc_06940501_copy2","1","0"
".eslintrc_500a324d_2","1","0"
".eslintrc_500a324d_1","1","0"
".eslintrc_4","1","0"
".eslintrc_3c448068_copy3","1","0"
".pas","1","0"
".pat","1","0"
".eslintrc_3c448068_copy2","1","0"
".pbm","1","0"
".eslintrc_3c448068_copy1","1","0"
".eslintrc_3c448068_2","1","0"
".eslintrc_3c448068_1","1","0"
".env_8","1","0"
".eslintrc_3c200368","1","0"
".eslintrc_317b53d3_copy3","1","0"
".eslintrc_317b53d3_copy2","1","0"
".pgm","1","0"
".php","1","0"
".eslintrc_317b53d3_copy1","1","0"
".eslintrc_317b53d3_2","1","0"
".eslintrc_317b53d3_1","1","0"
".eslintrc_3","1","0"
".eslintrc_2","1","0"
".eslintrc_15b0bd2d","1","0"
".eslintrc_06940501_copy3","1","0"
".eslintrc_37f6780b","1","0"
".eslintrc_500a324d_copy1","1","0"
".env_7","1","0"
".env_5","1","0"
".editorconfig_copy8","1","0"
".editorconfig_copy7","1","0"
".editorconfig_copy6","1","0"
".editorconfig_copy11","1","0"
".editorconfig_copy10","1","0"
".sdi","1","3"
".editorconfig_ab1ae437","1","0"
".editorconfig_838a10ee","1","0"
".sgi","1","0"
".editorconfig_670b181c","1","0"
".editorconfig_55f84599","1","0"
".editorconfig_3","1","0"
".editorconfig_2","1","0"
".editorconfig_1a9fb759","1","0"
".editorconfig_1467dbaa","1","0"
".sndt","1","0"
".editorconfig_0b097940","1","0"
".editorconfig_0a73be68","1","0"
".edb","1","1"
".dtd","1","0"
".spelling","1","0"
".spelling_015caffc","1","0"
".dsw","1","0"
".rng","1","0"
".editorconfig_copy9","1","0"
".editorconfig_d8c14212","1","0"
".editorconfig_e4b46d64_1","1","0"
".env_4","1","0"
".env_3","1","0"
".env_2b06cf35","1","0"
".pydevproject","1","0"
".env_2","1","0"
".env_1","1","0"
".el","1","0"
".python-version_1371f7aa","1","0"
".python-version_copy1","1","0"
".python-version_copy2","1","0"
".egg-info__zip-safe","1","0"
".env_6","1","0"
".egg-info__PKG-INFO","1","0"
".editorconfig_ede54e8b_copy3","1","0"
".editorconfig_ede54e8b_copy2","1","0"
".editorconfig_ede54e8b_copy1","1","0"
".rar","1","26.8"
".ras","1","0"
".editorconfig_ede54e8b_2","1","0"
".rb","1","0.1"
".record","1","0"
".editorconfig_ede54e8b_1","1","0"
".rego","1","0"
".editorconfig_e4b46d64_2","1","0"
".editorconfig_fc57c8a9","1","0"
".eslintrc_500a324d_copy2","1","0"
".eslintrc_500a324d_copy3","1","0"
".eslintrc_502903e6","1","0"
".eslintrc_copy25","1","0"
".nvmrc_389b46f0","1","0"
".nvmrc_60fadd0f","1","0"
".nvmrc_ca52a597","1","0"
".nvmrc_copy2","1","0"
".nvmrc_copy3","1","0"
".nvmrc_copy4","1","0"
".nvmrc_copy5","1","0"
".nvmrc_copy6","1","0"
".nycrc_948366fe_1","1","0"
".nycrc_948366fe_2","1","0"
".nycrc_948366fe_copy1","1","0"
".nycrc_948366fe_copy2","1","0"
".nycrc_948366fe_copy3","1","0"
".nycrc_948366fe_copy4","1","0"
".nycrc_997785c5_1","1","0"
".nycrc_997785c5_2","1","0"
".nycrc_997785c5_copy1","1","0"
".nycrc_997785c5_copy2","1","0"
".nycrc_997785c5_copy3","1","0"
".nycrc_997785c5_copy4","1","0"
".eslintrc_copy2_copy1","1","0"
".nycrc_a9f4d73a_1","1","0"
".eslintrc_copy26","1","0"
".eslintrc_copy27","1","0"
".eslintrc_copy28","1","0"
".eslintrc_copy29","1","0"
".npmignore_copy23","1","0"
".npmignore_copy24","1","0"
".npmignore_copy7","1","0"
".npmignore_copy8","1","0"
".npmignore_copy9","1","0"
".npmignore_d11ca731","1","0"
".eslintrc_copy3_copy1","1","0"
".npmignore_d5cc148e_1","1","0"
".npmignore_d5cc148e_copy1","1","0"
".npmignore_d5cc148e_copy2","1","0"
".npmignore_d5cc148e_copy3","1","0"
".nycrc_a9f4d73a_2","1","0"
".npmignore_d5cc148e_copy4","1","0"
".npmignore_e2eb93a6","1","0"
".eslintrc_copy3","1","0"
".npmignore_e4f25935_1","1","0"
".npmignore_e4f25935_copy1","1","0"
".npmignore_e4f25935_copy2","1","0"
".npmignore_e4f25935_copy3","1","0"
".npmignore_e4f25935_copy4","1","0"
".npmignore_e88677f2","1","0"
".npmignore_ed711199","1","0"
".npmignore_fcba86d1","1","0"
".npmrc","1","0"
".npmignore_dba27c31","1","0"
".nycrc_a9f4d73a_copy1","1","0"
".nycrc_a9f4d73a_copy2","1","0"
".nycrc_a9f4d73a_copy3","1","0"
".obsolete_0b3d81c4","1","0"
".obsolete_0b3d81c4_copy1","1","0"
".obsolete_copy1","1","0"
".obsolete_copy2","1","0"
".ocx","1","0"
".orig","1","0"
".out","1","0"
".eslintrc_copy1_copy1","1","0"
".eslintrc_copy1","1","0"
".eslintrc_cd5d0efd_copy3","1","0"
".eslintrc_cd5d0efd_copy2","1","0"
".eslintrc_copy2","1","0"
".eslintrc_cd5d0efd_copy1","1","0"
".eslintrc_cd5d0efd_1","1","0"
".eslintrc_b3a0e79e","1","0"
".eslintrc_9e897997","1","0"
".eslintrc_962dcb38","1","0"
".eslintrc_790a0b6d","1","0"
".eslintrc_66c124aa","1","0"
".eslintrc_642b1b0f_copy3","1","0"
".eslintrc_642b1b0f_copy2","1","0"
".eslintrc_642b1b0f_copy1","1","0"
".eslintrc_642b1b0f_2","1","0"
".eslintrc_642b1b0f_1","1","0"
".eslintrc_cd5d0efd_2","1","0"
".dir","1","0"
".nycrc_copy9","1","0"
".nycrc_copy30","1","0"
".nycrc_copy1","1","0"
".nycrc_copy1_copy1","1","0"
".nycrc_copy10","1","0"
".nycrc_copy11","1","0"
".nycrc_copy12","1","0"
".nycrc_copy13","1","0"
".nycrc_copy14","1","0"
".nycrc_copy15","1","0"
".nycrc_copy16","1","0"
".nycrc_copy17","1","0"
".nycrc_copy18","1","0"
".nycrc_copy8","1","0"
".nycrc_copy19","1","0"
".nycrc_copy2_copy1","1","0"
".nycrc_copy20","1","0"
".nycrc_copy21","1","0"
".nycrc_copy22","1","0"
".nycrc_copy23","1","0"
".nycrc_copy24","1","0"
".nycrc_copy25","1","0"
".nycrc_copy26","1","0"
".nycrc_copy27","1","0"
".nycrc_copy28","1","0"
".nycrc_copy29","1","0"
".nycrc_copy2","1","0"
".npmignore_9f86d081_copy1","1","0"
