anchor_kind,anchor_token,count
MCR,MCR 7.307,1
MCR,"MCR
         7.311",1
MCL,MCL 445.870,1
MCR,"MCR
             8.112",1
MCR,"MCR
                 8.112",1
MCR,"MCR
1.109",1
MCR,MCR 3.218,1
MCR,"MCR
          8.119",1
MCR,"MCR
             1.109",1
MCL,MCL 600.8039,1
MCR,MCR 8.116,1
MCL,MCL 399.811,1
MCL,MCL 500.3148,1
MCR,"MCR
             1.111",1
MCR,MCR 8.128,1
MCL,MCL 600.8281,1
MCL,MCL 600.8621,1
MCL,MCL 600.8104,1
MCR,"MCR
             9.121",1
MCR,MCR 9.131,1
MCR,"MCR
          9.126",1
MCR,MCR 2.221,1
MCR,MCR 9.211,1
MCR,MCR 9.128,1
MCR,"MCR
                 9.124",1
MCR,MCR 3.602,1
MCR,"MCR
             9.112",1
MCL,MCL 600.2546,1
MCR,MCR 9.221,1
MCR,MCR 9.222,1
MCR,MCR 9.251,1
MCR,"MCR
          9.240",1
MCR,"MCR
          9.223",1
MCR,MCR 9.232,1
MCR,MCR 9.305,1
MCR,MCR 9.313,1
MCR,"MCR
7.215",1
MCR,MCR 7.315,1
MCL,MCL 768.22,1
MRE,MRE 102,1
MCL,MCL 257.625a,1
MRE,"MRE
              103",1
MRE,MRE 602,1
MRE,"MRE
                                   901",1
MRE,"MRE
                         901",1
MRE,"MRE
                              901",1
MRE,MRE 902,1
MRE,"MRE
                              902",1
MCL,MCL 600.2106,1
MRE,MRE 202,1
MCL,MCL 768.21a,1
MRE,MRE 301,1
MCL,MCL 257.402,1
MCR,"MCR
                         2.112",1
MCR,"MCR
                         6.201",1
MCL,MCL 768.20,1
MCL,MCL 768.20a,1
MCL,MCL 768.21d,1
MRE,"MRE
                   611",1
MRE,MRE 501,1
MCR,"MCR

              6.001",1
MCR,"MCR
                                 6.201",1
MCL,MCL 600.2162,1
MCR,MCR 6.126,1
MRE,"MRE
                    411",1
MCL,MCL 750.90a,1
MCL,MCL 432.218,1
MCL,MCL 752.796,1
MCL,MCL 752.797,1
MRE,"MRE
                                      609",1
MRE,"MRE

              404",1
MCL,"MCL
                                    750.462h",1
MCL,MCL 768.27b.16,1
MRE,"MRE
                              405",1
MRE,"MRE
                              404",1
MCL,MCL 750.520g,1
MCL,"MCL
                          750.520j",1
MCL,"MCL
                         750.520j",1
MRE,"MRE
              404",1
MCL,"MCL
              750.520j",1
MCL,"MCL
                              750.520j",1
MRE,"MRE
                   609",1
MCL,"MCL
                        768.27",1
MRE,"MRE
                        404",1
MRE,"MRE
                               404",1
MRE,"MRE
                 404",1
MRE,"MRE
                              801",1
MRE,"MRE
                                404",1
MRE,"MRE
                                   404",1
MCL,MCL 768.27b44,1
MRE,"MRE
                   404",1
MCL,"MCL
              768.27a",1
MCL,"MCL
                         768.27a",1
MRE,"MRE
                         403",1
MCL,"MCL
                    750.448",1
MCL,"MCL
                    768.27a",1
MCL,"MCL
                         750.448",1
MRE,"MRE
                  402",1
MCL,"MCL
                             768.27b",1
MRE,"MRE
                               403",1
MCL,"MCL
           768.27b",1
MCL,"MCL
                         768.27b55",1
MRE,MRE 406,1
MRE,MRE 409,1
MRE,"MRE

           403",1
MRE,"MRE
            410",1
MCL,MCL 333.18237,1
MCL,MCL 600.2155,1
MCL,"MCL
            600.2155",1
MCL,"MCL
            500.3030",1
MCL,"MCL
                  776.21",1
MCL,MCL 338.1728,1
MCR,"MCR
                            2.401",1
MCL,MCL 780.758,1
MCL,"MCL
                            767.40a",1
MCL,MCL 600.1420,1
MCL,MCL 780.761,1
MCL,MCL 780.789.6,1
MCL,MCL 763.1,1
MCL,MCL 768.3,1
MRE,"MRE
                                                 804",1
MRE,"MRE
                          804",1
MRE,"MRE
                               804",1
MCL,"MCL
                                 257.904",1
MRE,"MRE
                           804",1
MRE,"MRE
                         804",1
MCR,"MCR
               6.006",1
MCR,"MCR
                         6.006",1
MCR,"MCR
                            6.006",1
MCL,"MCL
                                   600.2163a",1
MCL,"MCL
                            600.2163a",1
MCL,MCL      600.2163a,1
MRE,"MRE
                  611",1
MCR,"MCR
              3.972",1
MRE,MRE 807,1
MCR,"MCR
                  3.210",1
MCL,MCL 722.23,1
MRE,"MRE
                     403",1
MCL,MCL 600.1436,1
MRE,MRE 610,1
MCR,MCR 2.507,1
MCR,"MCR
                         2.507",1
MCR,"MCR
                               2.507",1
MRE,"MRE
                         611",1
MCL,"MCL
                        600.2161",1
MRE,"MRE
                        611",1
MRE,MRE 614,1
MCL,MCL 600.2158,1
MRE,"MRE
                          609",1
MRE,"MRE
                      609",1
MRE,"MRE
                         613",1
MRE,"MRE
                             801",1
MRE,MRE 106,1
MCR,MCR 6.417,1
MRE,MRE 612,1
MRE,"MRE
                  612",1
MRE,"MRE
                  803",1
MCR,"MCR
                  2.308",1
MRE,"MRE
                           613",1
MCL,MCL 763.10,1
MCL,MCL 763.9,1
MRE,"MRE
                    701",1
MCL,"MCL
                              600.2955",1
SCAO_FORM,DC 46,1
MCL,MCL 333.16401,1
MCL,"MCL
              333.16401",1
MCL,"MCL
                         333.16401",1
MCL,MCL 333.17801,1
MRE,"MRE
                         702",1
MCL,"MCL
                   600.2552",1
MCR,"MCR
                           2.308",1
MCR,"MCR
                         2.302",1
MCR,"MCR
                            6.201",1
MCL,"MCL
                         775.15",1
MCL,MCL 775.15,1
