label,count
Node;The_Court_has_reviewed_the_police_reports_that_were_admitted_into_evidence_and;Violation;Kind_violation,6
Court_questions_why_Plaintiff_Father_needs_childcare_for_the_child_The_Court_finds_that;Node;Violation;Kind_violation,6
Node;The_Court_finds_that_the_minor_child_is_of_insufficient_age_to_express_a_preference;Violation;Kind_violation,6
L_4_FAILURE_TO_APPEAR_in_a_criminal_case_may_subject_you_to_the_penalty_for_contempt_of_court;and_a_bench_warrant_may_be_issued;Node;Violation;Kind_violation,6
Node;Prior_Orders_not_specifically_or_by_implication_modified_in_this_Order_are_preserved_and_remain_in_effect;Violation;Kind_violation,6
Node;Violation;the_day_before_this_Trial;identified_as_Motion_for_Parenting_Time_and_Contempt_of;Kind_violation,6
Node;Violation;sanctions;including_an_assessment_of_costs;Kind_violation,6
Node;The_Court_finds_that_neither_has_a_religious_affiliation_The_Court_finds_that;Violation;Kind_violation,6
Node;Violation;known_addresses_as_defined_by_MCR_3_203_01_also_served_the_Deviation_Addendum_FOC_10d_with_this_order_I_declare;Kind_violation,6
Node;Violation;complained_about_the_minor_child_saying_momma_It_is_significant_to_the_Court_that;Kind_violation,6
Node;Violation;throughout_the_course_of_this_case_and_for_which_the_Court_has_instructed_him_the;Kind_violation,6
Court_telephone_no;Node;Violation;Kind_violation,5
IT_IS_FURTHER_ORDERED_that_Plaintiff_Father_shall_exercise_parenting_time_on;Node;Violation;Kind_violation,5
The_support_calculation_provided_by_this_Calculator_is_not_a_support_recommendation_or_a_support_order;Node;Violation;Kind_violation,5
CHILD_SUPPORT;Node;Violation;Kind_violation,5
Node;Violation;custody_of_the_minor_child;Kind_violation,5
Node;Violation;in_the_current_or_subsequent_Michigan_Child_Support_Formula;monthly_support_charges_shall_abate_and_be_temporarily;Kind_violation,5
Node;Violation;currently_with_Plaintiff_Father_for_parenting_time;and_despite_this_Order_being_effective;Kind_violation,5
Node;Violation;the_payer_of_support_will_be_incarcerated_for_180_consecutive_days_or_more_without_the_ability_to_pay;Kind_violation,5
Node;Violation;are_frivolous_Motions_for_which_Plaintiff_has_already_been_instructed_by_this_Court_that_if;Kind_violation,5
Node;Violation;provide_notice_of_reinstatement_to_the_parties_and_to_the_court_that_specifies_the_date_charges_will_be_effective;Kind_violation,5
Node;Violation;pursuant_to_MCL_552_603_Both_parties_shall_notify_the_friend_of_the_court_in_writing_within_21_days_of_any_change_in_this;Kind_violation,5
Based_on_a_motion_by_either_party_or_a_recommendation_following_a_review_by_the_friend_of_the_court;the_amount;Node;Violation;Kind_violation,5
Node;Violation;reduced_to_zero_effective_the_date_that_the_friend_of_the_court_office_provides_notice_of_the_abatement_to_the_parties_and;Kind_violation,5
Node;Support_0_00;Violation;Kind_violation,5
Child_Support_is_the_initial_Order_regarding_custody_and_parenting_time;issued_by_this;Node;Violation;Kind_violation,5
Either_party_may_object_to_the_abatement_or_reinstatement_by_filing_a_written_objection_with_the_court_within_21_days;Node;Violation;Kind_violation,5
CUSTODY;PARENTING_TIME;AND;Node;Violation;Kind_violation,5
Node;Violation;calculated_using_the_arrearage_guideline_in_the_Michigan_Child_Support_Formula;Kind_violation,5
Node;Payer_s_Base_Support_Amount_after_PTO;Violation;Kind_violation,5
CIRCUIT_COURT_JUDGE;Node;Violation;Kind_violation,5
Node;PRESENT_HONORABLE_JENNY_L_MCNEILL;Violation;Kind_violation,5
Base_Support_after_PTO;Node;Violation;Kind_violation,5
At_a_session_of_said_Court_held_at_the_County_Building;Node;Violation;Kind_violation,5
L_2024;the_Court_ruled_as_follows;Node;Violation;Kind_violation,5
Node;Violation;parent_may_contest_the_notice_by_requesting_a_review_or_hearing_conceming_availability_of_health_care_at_a_reasonable;Kind_violation,5
Node;Violation;change_of_address_so_long_as_this_Judgment_of_Custody;Parenting_Time;and_Child;Kind_violation,4
Node;Violation;proper_attire;and_with_all_equipment_necessary_to_actively_participate_The_parties_shall;Kind_violation,4
Node;Violation;consider_this_carefully_as_you_complete_the_Motion_Regarding_Custody;Kind_violation,4
CHILD_CUSTODY_ACT_OF_1970_EXCERPT;Node;Violation;Kind_violation,4
In_custody_matters;the_Court_considers_the_best_interests_of_the_child_as_it_pertains_to_the;Node;Violation;Kind_violation,4
Effective5_3_2024;the_payer_shall_pay_a_monthly_child_support_obligation_for_the_children_named_above;Node;Violation;Kind_violation,4
Node;Violation;recalculate_child_support_and_shall_prepare_a_Uniform_Child_Support_Order_with_an;Kind_violation,4
Node;Violation;after_release;CREDITS_WILL_NOT_BE_APPLIED;Kind_violation,4
and_a_Motion_to_Modify_Parenting_Time_and_Drop_Off_Arrangements;Node;Violation;Witness;Kind_violation,4
Node;Violation;areadditional_concems_regarding_the_eviction;Kind_violation,4
Node;Violation;child_except_in_compliance_with_Section_11_of_the_Child_Custody_Act_of_1970;L_1970;Kind_violation,4
Node;Violation;recalculate_child_support_utilizing_the_following_modifications_for_the_child_support;Kind_violation,4
IT_IS_FURTHER_ORDERED_that_a_parent_whose_custody_or_parenting_time_of_the;Node;Violation;Kind_violation,4
Gathering_Conference_regarding_the_child_support_calculations_is_granted;Node;Violation;Kind_violation,4
Node;Violation;successor_The_person_awarded_custody_must_promptly_notify_the_Friend_of_the_Court_in;Kind_violation,4
Michigan_without_the_approval_of_the_Judge_who_awarded_custody_or_the_Judge_s;Node;Violation;Kind_violation,4
IT_IS_FURTHER_ORDERED_that_Holiday_Parenting_Time_takes_precedence_over;Node;Violation;Kind_violation,4
Node;Violation;parenting_time;Kind_violation,4
Node;Parenting_Time;and_Child_Support_Following_Facilitative_Information_Gathering;Violation;Kind_violation,4
As_used_in_this_act;best_interests_of_the_child_means_the_sum_total_of_the_following_factors_to_be;Node;Violation;Kind_violation,4
Node;Violation;following_factors_Has_there_been_a_change_of_circumstances_that_pertains_to_any_factors_Please;Kind_violation,4
Node;Violation;and_her_niece_Plaintiff_Father_lives_by_himself_This_Factor_favors_Defendant_Mother;Kind_violation,4
Node;Support_remains_operative;Violation;Kind_violation,4
L_10_days_in_order_that_the_amount_of_support_may_be_adjusted_accordingly;in_the_event;Node;Violation;Kind_violation,4
Node;Violation;based_upon_the_Michigan_Child_Support_Formula_Deviations;specifically_1_04_E_19;as;Kind_violation,4
Node;OF_CUSTODY;PARENTING_TIME;AND_CHILD_SUPPORT;Violation;Kind_violation,4
Defendant_s_Objection_to_Ex_Parte_Order_for_Custody;Appearance_and_Notice;Node;Violation;Kind_violation,4
Node;Violation;mail_Please_include_your_Name;Date_of_Birth;and_Jail_Stay_if_you_are_mailing_in_your_payment;Kind_violation,4
Node;Violation;the_time_of_the_notice;is_correct_Per_August_23;L_2024_Uniform_Support_Order;support_was_effective_July_17;L_2024;Kind_violation,4
Node;Violation;further_review_of_parenting_time_by_this_Court;Kind_violation,4
Node;Violation;in_this_order_Past_due_amounts_owed_under_any_prior_support_order_in_this_case_are_preserved_and_paid_at_the_rate;Kind_violation,4
L_27_Defendant_objects_to_the_child_support_calculations_as_the_calculations_do_not;Node;Violation;Kind_violation,4
Node;Violation;either_set_the_objection_for_hearing_or_complete_a_support_review_with_an_effective_date_no_earlier_than_the_date_of_filing;Kind_violation,4
L_24_Defendant_also_objects_to_the_child_support_calculations;Node;Violation;Kind_violation,4
Node;Support_Formula_The_attached_deviation_addendum_FOC_1_ad_provides_the_basis_for_deviation_and_the_required;Violation;Kind_violation,4
Node;Violation;their_mailing_address;residence_address;email_address_and_name_including_address_of_current_source_of_income;Kind_violation,4
L_13_Prior_Orders_This_order_supersedes_all_prior_child_support_orders_and_all_continuing_provisions_are_restated;Node;Violation;Kind_violation,4
Node;Time;and_Child_Support_Following_Facilitative_Information_Gathering_Conference_is;Violation;Kind_violation,4
L_29_Defendant_objects_to_the_child_support_calculations_as_the_tax_portion_of_the;Node;Violation;Kind_violation,4
Node;SCHEDuLING_CONFERENCE_ORDER_REVIEW_CHILD_CUSTODY;Violation;Kind_violation,4
Node;The_minor_child_of_the_parties_has_the_inherent_right_to_the_natural_affections_and_love_of_both_parents_and_neither;Violation;Kind_violation,4
INHERENT_RIGHT;Node;Violation;Kind_violation,4
Except_otherwise_provided_in_this_Order;neither_parent_shall_exercise_parenting_time_in_a_foreign;Node;Violation;Kind_violation,4
Node;Violation;fully_informed_of_the_current_address_of_the_child;Kind_violation,4
and_the_custodial_parent_shall_keep_the_Muskegon_County_Family_Court_Services;Node;Violation;prior_approval_of_the_Court;Kind_violation,4
Node;Violation;weekends_from_with_parenting_time;Kind_violation,4
Node;Violation;shall_be_F_with_parenting_time_exchanges;Kind_violation,4
E_Order_that_Plaintiffs_parenting_time_shall_be_supervised_at_an_Agency_at;Node;Violation;Kind_violation,4
Node;Violation;altering_substance_twelve_12_hours_prior_to_or_during_parenting_times_with_the_minor_child;Kind_violation,4
D_Grant_Defendant_s_Objection_to_equal_parenting_time;Node;Violation;Kind_violation,4
Spring_Break_Parenting_time_shall_commence_at_6_00_p_m_the_day_school;Node;Violation;Kind_violation,4
Node;Parenting_Time_schedule_as_follows;Violation;Kind_violation,4
Plaintiff_shall_next_exercise_parenting_time_from_Friday;September_6;L_2024;at;Node;Violation;Kind_violation,4
