dataset,source_name,primary_lane,rows,top_signal,avg_signal
pack_old_all,6683a8d8-d1aa-4b3f-8b3a-24d8e423201b.pdf,MEEK2,2,16.32,16.314999999999998
pack_old_all,custody_scanned2_0055.pdf.txt,MEEK2,2,16.31,16.31
pack_new_mixed_all,e63b9c48-5954-4dbc-b8e8-5b1bdc2a2005.zip,MEEK2,1,58.65,58.65
pack_old_all,SCANNEDMergeddocketsnotices_20260205_2200__TEXTSNAPSHOT.txt,MEEK2,1,55.0,55.0
pack_old_all,ruscomartiniemailsscannd_0019.pdf,MEEK3,1,38.02,38.02
pack_old_all,jtc_scanned_0017.pdf.txt,MEEK2,1,36.1,36.1
pack_new_mixed_all,96035745-eafb-42f8-81cf-4493f946e853.pdf,MEEK3,1,34.41,34.41
pack_new_mixed_all,a0da751d-4b19-46f9-8e48-0272150ab69d.pdf,MEEK3,1,34.41,34.41
pack_old_all,jtc_scanned_0006.pdf.txt,MEEK4,1,32.17,32.17
pack_old_all,jtc_scanned_0008.pdf.txt,MEEK4,1,32.17,32.17
pack_old_all,healthwest2ndscanned_0005.pdf,MEEK2,1,31.84,31.84
pack_old_all,healthwest2ndscanned_0021.pdf,MEEK2,1,31.84,31.84
pack_old_all,ruscomartiniemailsscannd_0011.pdf,MEEK2,1,31.7,31.7
pack_old_all,ruscomartiniemailsscannd_0027.pdf,MEEK2,1,31.69,31.69
pack_old_all,ruscomartiniemailsscannd_0028.pdf,MEEK2,1,31.68,31.68
pack_old_all,jtc_scanned_0010.pdf.txt,MEEK3,1,30.27,30.27
pack_old_all,jtc_scanned_0015.pdf.txt,MEEK3,1,30.11,30.11
pack_old_all,emilys filings scanned_0016.pdf,MEEK2,1,28.57,28.57
pack_old_all,jtc_scanned_0013.pdf.txt,MEEK2,1,28.11,28.11
pack_old_all,dockets notices proofs scanned_0029.pdf,MEEK3,1,27.92,27.92
pack_old_all,dockets notices proofs scanned_0009.pdf,MEEK3,1,27.88,27.88
pack_old_all,dockets notices proofs scanned_0018.pdf,MEEK3,1,27.88,27.88
pack_old_all,dockets notices proofs scanned_0019.pdf,MEEK3,1,27.88,27.88
pack_old_all,dockets notices proofs scanned_0010.pdf,MEEK3,1,27.86,27.86
pack_old_all,dockets notices proofs scanned_0014.pdf,MEEK3,1,27.86,27.86
pack_old_all,court_docs_ppo_cust_scanned_0001.pdf.txt,MEEK2,1,27.83,27.83
pack_old_all,dockets notices proofs scanned_0024.pdf,MEEK3,1,27.79,27.79
pack_old_all,emilys filings scanned_0003.pdf,MEEK3,1,27.76,27.76
pack_old_all,emilys filings scanned_0007.pdf,MEEK3,1,27.76,27.76
pack_old_all,emilys filings scanned_0002.pdf,MEEK3,1,27.74,27.74
pack_old_all,emilys_filings_scanned_0002.pdf.txt,MEEK3,1,27.66,27.66
pack_old_all,dockets_notices_proofs_scanned_0024.pdf.txt,MEEK3,1,27.48,27.48
pack_old_all,dockets_notices_proofs_scanned_0014.pdf.txt,MEEK3,1,27.42,27.42
pack_old_all,dockets_notices_proofs_scanned_0021.pdf.txt,MEEK3,1,27.22,27.22
pack_old_all,dockets_notices_proofs_scanned_0029.pdf.txt,MEEK3,1,27.22,27.22
pack_old_all,dockets_notices_proofs_scanned_0009.pdf.txt,MEEK3,1,27.09,27.09
pack_old_all,dockets_notices_proofs_scanned_0010.pdf.txt,MEEK3,1,27.09,27.09
pack_old_all,dockets_notices_proofs_scanned_0018.pdf.txt,MEEK3,1,27.09,27.09
pack_old_all,dockets_notices_proofs_scanned_0019.pdf.txt,MEEK3,1,27.09,27.09
pack_old_all,emilys filings scanned_0001.pdf,MEEK3,1,26.65,26.65
pack_old_all,custody_scanned_0054.pdf.txt,MEEK2,1,26.48,26.48
pack_old_all,ruscomartiniemailsscannd_0021.pdf,MEEK3,1,25.81,25.81
pack_old_all,ruscomartiniemailsscannd_0023.pdf,MEEK3,1,25.77,25.77
pack_old_all,ruscomartiniemailsscannd_0018.pdf,MEEK3,1,25.76,25.76
pack_old_all,ruscomartiniemailsscannd_0015.pdf,MEEK3,1,25.75,25.75
pack_old_all,dockets notices proofs scanned_0022.pdf,MEEK3,1,25.68,25.68
pack_old_all,jtc_scanned_0007.pdf.txt,MEEK3,1,25.35,25.35
pack_old_all,jtc_scanned_0007.pdf.txt,MEEK2,1,25.19,25.19
pack_old_all,dockets_notices_proofs_scanned_0003.pdf.txt,MEEK3,1,25.09,25.09
pack_old_all,healthwest2ndscanned_0022.pdf,MEEK2,1,24.9,24.9
pack_old_all,healthwest2ndscanned_0006.pdf,MEEK2,1,24.89,24.89
pack_old_all,ruscomartiniemailsscannd_0020.pdf,MEEK2,1,24.71,24.71
pack_old_all,ruscomartiniemailsscannd_0021.pdf,MEEK2,1,24.71,24.71
pack_old_all,ruscomartiniemailsscannd_0022.pdf,MEEK2,1,24.71,24.71
pack_old_all,ruscomartiniemailsscannd_0013.pdf,MEEK2,1,24.69,24.69
pack_old_all,ruscomartiniemailsscannd_0015.pdf,MEEK2,1,24.67,24.67
pack_old_all,custody_scanned2_0060.pdf.txt,MEEK2,1,24.53,24.53
pack_old_all,custody_scanned2_0068.pdf.txt,MEEK2,1,24.52,24.52
pack_old_all,custody_scanned_0045.pdf.txt,MEEK2,1,24.49,24.49
pack_old_all,emilys_filings_scanned_0016.pdf.txt,MEEK2,1,24.23,24.23
pack_old_all,jtc_scanned_0014.pdf.txt,MEEK4,1,24.21,24.21
pack_old_all,jtc_scanned_0016.pdf.txt,MEEK4,1,24.12,24.12
pack_old_all,emilys_filings_scanned_0003.pdf.txt,MEEK3,1,23.48,23.48
pack_old_all,emilys filings scanned_0005.pdf,MEEK3,1,23.19,23.19
pack_old_all,emilys_filings_scanned_0006.pdf.txt,MEEK3,1,23.19,23.19
pack_old_all,emilys filings scanned_0006.pdf,MEEK3,1,23.18,23.18
pack_old_all,emilys_filings_scanned_0005.pdf.txt,MEEK3,1,23.16,23.16
pack_old_all,emilys_filings_scanned_0007.pdf.txt,MEEK3,1,23.07,23.07
pack_old_all,court_docs_ppo_cust_scanned_0031.pdf.txt,MEEK2,1,22.79,22.79
pack_old_all,court_docs_ppo_cust_scanned_0031_1_.pdf.txt,MEEK2,1,22.79,22.79
pack_old_all,custody_scanned_0019.pdf.txt,MEEK2,1,22.67,22.67
pack_old_all,court_docs_ppo_cust_scanned_0013.pdf.txt,MEEK2,1,22.32,22.32
pack_old_all,court_docs_ppo_cust_scanned_0030.pdf.txt,MEEK2,1,22.13,22.13
pack_old_all,court_docs_ppo_cust_scanned_0023.pdf.txt,MEEK2,1,22.12,22.12
pack_old_all,dockets notices proofs scanned_0003.pdf,MEEK2,1,22.11,22.11
pack_old_all,custody_scanned2_0053.pdf.txt,MEEK2,1,22.09,22.09
pack_old_all,dockets_notices_proofs_scanned_0002.pdf.txt,MEEK2,1,22.06,22.06
pack_old_all,dockets_notices_proofs_scanned_0005.pdf.txt,MEEK2,1,22.05,22.05
pack_old_all,ruscomartiniemailsscannd_0020.pdf,MEEK3,1,21.39,21.39
pack_old_all,healthwest2ndscanned_0026.pdf,MEEK2,1,21.31,21.31
pack_old_all,SCANNEDMergedEMILYSFILING_20260205_2201.pdf.txt,MEEK3,1,21.19,21.19
pack_old_all,SCANNEDMergedEMILYSFILING_20260205_2201_1_.pdf.txt,MEEK3,1,21.19,21.19
pack_old_all,SCANNEDMergedEMILYSFILING_20260205_2201_2_.pdf.txt,MEEK3,1,21.19,21.19
pack_old_all,emilys_filings_scanned_0001.pdf.txt,MEEK3,1,21.19,21.19
pack_old_all,emilys filings scanned_0003.pdf,MEEK2,1,20.88,20.88
pack_old_all,emilys_filings_scanned_0003.pdf.txt,MEEK2,1,20.88,20.88
pack_old_all,custody_scanned_0034.pdf.txt,MEEK2,1,20.67,20.67
pack_old_all,custody_scanned_0028.pdf.txt,MEEK2,1,20.56,20.56
pack_old_all,custody_scanned_0042.pdf.txt,MEEK2,1,20.52,20.52
pack_old_all,custody_scanned2_0037.pdf.txt,MEEK2,1,20.39,20.39
pack_old_all,custody_scanned2_0047.pdf.txt,MEEK2,1,20.26,20.26
pack_old_all,custody_scanned2_0046.pdf.txt,MEEK2,1,20.09,20.09
pack_old_all,custody_scanned_0053.pdf.txt,MEEK2,1,20.09,20.09
pack_old_all,custody_scanned_0070.pdf.txt,MEEK2,1,18.46,18.46
pack_old_all,emilys filings scanned_0002.pdf,MEEK2,1,18.46,18.46
pack_old_all,emilys filings scanned_0009.pdf,MEEK2,1,18.46,18.46
pack_old_all,emilys_filings_scanned_0015.pdf.txt,MEEK2,1,18.44,18.44
pack_old_all,emilys_filings_scanned_0004.pdf.txt,MEEK2,1,18.43,18.43
pack_old_all,emilys filings scanned_0012.pdf,MEEK2,1,18.42,18.42
pack_old_all,emilys filings scanned_0015.pdf,MEEK2,1,18.42,18.42
pack_old_all,emilys filings scanned_0004.pdf,MEEK2,1,18.41,18.41
pack_old_all,emilys_filings_scanned_0005.pdf.txt,MEEK2,1,18.41,18.41
pack_old_all,emilys filings scanned_0005.pdf,MEEK2,1,18.4,18.4
pack_old_all,emilys filings scanned_0008.pdf,MEEK2,1,18.4,18.4
pack_old_all,emilys_filings_scanned_0008.pdf.txt,MEEK2,1,18.4,18.4
pack_old_all,custody_scanned2_0013.pdf.txt,MEEK2,1,18.14,18.14
pack_old_all,custody_scanned2_0012.pdf.txt,MEEK2,1,18.08,18.08
pack_old_all,custody_scanned2_0001.pdf.txt,MEEK2,1,17.62,17.62
pack_old_all,custody_scanned2_0061.pdf.txt,MEEK2,1,16.5,16.5
pack_old_all,custody_scanned_0074.pdf.txt,MEEK2,1,16.41,16.41
pack_old_all,custody_scanned_0009.pdf.txt,MEEK2,1,16.32,16.32
pack_old_all,court_docs_ppo_cust_scanned_0006.pdf.txt,MEEK2,1,16.11,16.11
pack_old_all,court_docs_ppo_cust_scanned_0011.pdf.txt,MEEK2,1,16.11,16.11
pack_old_all,court_docs_ppo_cust_scanned_0016.pdf.txt,MEEK2,1,16.11,16.11
pack_old_all,court_docs_ppo_cust_scanned_0019.pdf.txt,MEEK2,1,16.11,16.11
