dataset,source_name,primary_lane,rows,top_signal,avg_signal
pack_new_primary_all,ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,MEEK3,19,76.44,56.414736842105256
pack_new_primary_all,92f01e67-69c6-4d2d-84ad-1a1e4f1fc06d.zip,MEEK4,19,61.79,45.16473684210526
pack_old_all,ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,MEEK3,19,50.29,34.55947368421052
pack_new_primary_all,8e5460ad-ca1d-4cac-b802-1ec6e07997fb.md,MEEK2,18,67.49,45.22388888888889
pack_old_all,healthwest2ndscanned_0024.pdf,MEEK2,18,39.86,29.64611111111111
pack_old_all,healthwest2ndscanned_0008.pdf,MEEK2,18,39.84,28.514444444444443
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0012.pdf,MEEK4,18,37.16,30.608333333333334
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0003.pdf,MEEK4,17,36.05,31.59470588235294
pack_old_all,cd4d925c-fcd2-41a7-915a-102a20b92b40.pdf,MEEK2,17,32.59,23.47470588235294
pack_new_primary_all,dba73432-3966-4a47-9ff7-90bbf1f2f1f2.zip,MEEK3,16,69.43,48.226875
pack_new_primary_all,bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,MEEK4,16,64.47,48.845625
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0014.pdf,MEEK4,16,36.05,31.55375
pack_old_all,3055edeb-0469-492a-9865-021bb87dcc03.md,MEEK2,14,38.04,27.63642857142857
pack_old_all,2sided_judge_orders_scanned_0015.pdf.txt,MEEK2,14,29.79,22.632857142857144
pack_old_all,healthwest2ndscanned_0023.pdf,MEEK2,13,39.84,24.84307692307692
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0002.pdf,MEEK4,13,37.58,32.09076923076923
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0007.pdf,MEEK4,13,35.29,31.10076923076923
pack_new_primary_all,6683a8d8-d1aa-4b3f-8b3a-24d8e423201b.pdf,MEEK3,12,59.0,39.284166666666664
pack_new_primary_all,d936b8f2-5418-460d-a0aa-81acac8d6acd.zip,MEEK2,12,53.42,39.89083333333333
pack_old_all,healthwest2ndscanned_0007.pdf,MEEK2,12,39.84,25.008333333333336
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0011.pdf,MEEK4,12,37.7,30.878333333333334
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0027.pdf,MEEK4,12,37.69,30.877499999999998
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0028.pdf,MEEK4,12,37.68,30.876666666666665
pack_old_all,2sided_judge_orders_scanned_0027.pdf.txt,MEEK2,12,24.78,21.435000000000002
pack_new_primary_all,92f01e67-69c6-4d2d-84ad-1a1e4f1fc06d.zip,MEEK3,11,70.24,50.26909090909091
pack_new_primary_all,70c49062-1ea0-4e73-a649-32d0a9986474.zip,MEEK4,11,50.37,44.337272727272726
pack_old_all,96035745-eafb-42f8-81cf-4493f946e853.pdf,MEEK4,10,36.62,30.708
pack_old_all,a0da751d-4b19-46f9-8e48-0272150ab69d.pdf,MEEK4,10,36.62,30.708
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0005.pdf,MEEK4,10,35.49,31.217000000000002
pack_old_all,2sided_judge_orders_scanned_0004.pdf.txt,MEEK4,10,30.65,28.268
pack_old_all,2sided_judge_orders_scanned_0019.pdf.txt,MEEK2,10,20.86,20.662
pack_new_primary_all,d8c1df2c-f070-4111-8b75-8064f1a6a996.md,MEEK3,9,102.19,58.80888888888889
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0023.pdf,MEEK4,9,37.77,31.92555555555556
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0018.pdf,MEEK4,9,37.76,31.919999999999998
pack_new_primary_all,cd4d925c-fcd2-41a7-915a-102a20b92b40.pdf,MEEK4,8,62.59,49.1025
pack_new_primary_all,bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,MEEK3,8,58.06,43.332499999999996
pack_old_all,d8c1df2c-f070-4111-8b75-8064f1a6a996.md,MEEK3,8,43.39,29.0575
pack_old_all,healthwest2ndscanned_0009.pdf,MEEK2,8,39.84,31.8925
pack_old_meek4_emailthread,ruscomartiniemailsscannd_0016.pdf,MEEK4,8,36.6,31.4325
pack_old_all,custody_scanned_0060.pdf.txt,MEEK2,8,33.8,24.10625
pack_old_all,2sided_judge_orders_scanned_0028.pdf.txt,MEEK2,8,25.8,22.415
pack_new_primary_all,cd4d925c-fcd2-41a7-915a-102a20b92b40.pdf,MEEK3,7,80.34,61.18571428571429
